2021-04-19 22:21:26.304 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.307 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.309 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.311 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.312 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.314 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.316 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.317 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.319 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.320 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.321 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.323 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.324 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.326 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.327 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.329 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.331 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:21:26.332 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Hwang Jini, Alias)
2021-04-19 22:32:25.642 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Achaemenes, Alias)
2021-04-20 00:03:55.793 WARNING [MainProcess-17200] [MainThread-9892] [base._process_multi_values_field] From F:\毕设\Malaysian-Character-Knowledge-Graph\src\base.py[line:362]: 未指定在multi_values_field中多值字段(Betty White, Awards)
